"","GAP"
"1",45816.7333333333
"2",21153.9333333333
"3",16900.9
"4",54323.5333333333
"5",45222.7333333333
"6",25139.6333333333
"7",40793.6666666667
"8",37356
"9",31150.9
"10",35913.3333333333
"11",37586.5666666667
"12",24354.9333333333
"13",53113.5666666667
"14",50183.9666666667
"15",35811.3
"16",28106.7333333333
"17",47461.4666666667
"18",30357.7
"19",24674
"20",52228.8666666667
"21",56787.7
"22",36341.5666666667
"23",29627.3333333333
"24",49797.5666666667
"25",26605.7333333333
"26",26966.2
"27",34067.8666666667
"28",51539.1666666667
"29",33044.4
"30",28463.3
"31",39395.8666666667
"32",30412.6666666667
"33",27795.6
"34",67162.0333333333
"35",59932.3333333333
"36",27421.3333333333
"37",21224.6666666667
"38",38800.3
"39",30023.5666666667
"40",27003.3
"41",47155.4666666667
"42",59520.4666666667
"43",31293.5
"44",23575.7666666667
"45",41644.5333333333
"46",33089.1
"47",28375.4666666667
"48",34615.2
"49",63829.3666666667
"50",36443.5666666667
"51",52498.8
"52",34547.9
"53",56259.5
"54",21891.3333333333
"55",11915.3666666667
"56",8362.33333333333
"57",9474.73333333333
"58",8635.2
"59",8679.56666666667
"60",8626.06666666667
"61",8594.8
"62",13652.0333333333
"63",34845
"64",44338.8666666667
"65",20775
"66",39586.7666666667
"67",26202.2
"68",21210.2
"69",41411.8666666667
"70",58010.6
"71",32511.1333333333
"72",21502.4
"73",29889.4
"74",31413.5666666667
"75",28367.5666666667
"76",33801.5
"77",39517.4333333333
"78",35875.3
"79",34770.4666666667
"80",35701.5333333333
"81",24249.6333333333
"82",21816.8
"83",49473.8333333333
"84",55608.4333333333
"85",23601.3666666667
"86",18419
"87",38898.3
"88",26506.7666666667
"89",23373.2333333333
"90",58491.8333333333
"91",46432.5333333333
"92",32679.6333333333
"93",27380.3333333333
"94",34197.8
"95",30734.6333333333
"96",26685.6666666667
"97",25898.7333333333
"98",26813.6
"99",16682
"100",12956.0666666667
"101",14791.3666666667
"102",8961.76666666667
"103",9183.7
"104",9237.8
"105",12102.7333333333
"106",15873.1666666667
"107",20395.5666666667
"108",16637.4333333333
"109",17144.3
"110",13709.6666666667
"111",27894.2666666667
"112",37228.5666666667
"113",17576.1
"114",17201.6666666667
"115",21069.3666666667
"116",21257.7666666667
"117",18238.8666666667
"118",378.966666666667
"119",0
"120",7013.7
"121",27730.9666666667
"122",16724.7666666667
"123",18170.6333333333
"124",16635.4666666667
"125",26050.8666666667
"126",35035.0666666667
"127",27394.4
"128",29821.5333333333
"129",27762.2666666667
"130",11798.0666666667
"131",16319.2333333333
"132",24026.1
"133",27245.6333333333
"134",24463.0333333333
"135",15073.2
"136",28215.7333333333
"137",20530.2666666667
"138",27192.1666666667
"139",23824.0333333333
"140",32805.4666666667
"141",18667.7
"142",18880.8666666667
"143",24415.6
"144",19239.8
"145",26903.6666666667
"146",25204.1333333333
"147",35896.8
"148",27291.1333333333
"149",17689
"150",26831.1
"151",15642.5
"152",17422.9
"153",24739.3666666667
"154",35133.7666666667
"155",15193.6333333333
"156",24314.8666666667
"157",28259.5333333333
"158",16416.7
"159",35800.7666666667
"160",18217
"161",22346.8666666667
"162",13244.2333333333
"163",15312.7666666667
"164",15454.5333333333
"165",20984.7333333333
"166",16493.4
"167",33629.3666666667
"168",32451.5
"169",11307.9
"170",14086.6666666667
"171",17904.7666666667
"172",13449.1
"173",9438.23333333333
"174",7959.43333333333
"175",11910.9333333333
"176",17870.0333333333
"177",15748.4666666667
"178",24680.4333333333
"179",21590.6333333333
"180",21740.7
"181",22255.2333333333
"182",17111.0666666667
"183",16117.2
"184",17665.2
"185",16723.5
"186",17621.5
"187",17825.4
"188",22636.7666666667
"189",18151.3333333333
"190",19669.3
"191",15138.7333333333
"192",12039.2
"193",17826.3666666667
"194",13239.7
"195",21469.5
"196",17286.3333333333
"197",14227.9
"198",11993.8666666667
"199",12618.0333333333
"200",11298.1
"201",18507.0333333333
"202",17670.8
"203",22954.3333333333
"204",16516.9666666667
"205",13754.7333333333
"206",7876
"207",15408.3333333333
"208",20041.9
"209",27031.0333333333
"210",5351.93333333333
"211",7780.26666666667
"212",13538.8666666667
"213",17741.6
"214",16990.2666666667
"215",17722.7333333333
"216",19083.1666666667
"217",13118.3
"218",18162
"219",24726.3333333333
"220",18758.0333333333
"221",17861.3333333333
"222",17133.5
"223",18194.1666666667
"224",20698.4
"225",19216.8666666667
"226",15686.5
"227",19864.3333333333
"228",15974.9333333333
"229",16831.5333333333
"230",5799.33333333333
"231",23704.9
"232",22314.0333333333
"233",10709.2666666667
"234",20163.4666666667
"235",18538.5333333333
"236",27608.4
