"","Year","Month","variable","value"
"1","2007","01","All",1150287.16666667
"2","2007","02","All",941582.966666667
"3","2007","03","All",981042.9
"4","2007","04","All",586357.766666667
"5","2007","05","All",733481.2
"6","2007","06","All",595358.466666667
"7","2007","07","All",497091.2
"8","2007","08","All",568348.466666667
"9","2007","09","All",697997.9
"10","2007","10","All",821335.433333333
"11","2007","11","All",932037.366666667
"12","2007","12","All",1210092.1
"13","2008","01","All",1086230.6
"14","2008","02","All",822299.666666667
"15","2008","03","All",926536.633333333
"16","2008","04","All",803499.866666667
"17","2008","05","All",762082.6
"18","2008","06","All",715746.533333333
"19","2008","07","All",591304.966666667
"20","2008","08","All",205740.1
"21","2008","09","All",711129.866666667
"22","2008","10","All",846162.2
"23","2008","11","All",998917.2
"24","2008","12","All",949303.2
"25","2009","01","All",1049258.63333333
"26","2009","02","All",837615.433333333
"27","2009","03","All",912787.066666667
"28","2009","04","All",821280.4
"29","2009","05","All",753535.6
"30","2009","06","All",559033
"31","2009","07","All",459932.866666667
"32","2009","08","All",484606.733333333
"33","2009","09","All",710553.9
"34","2009","10","All",851489.533333333
"35","2009","11","All",917843.166666667
"36","2009","12","All",1015146.03333333
"37","2010","01","All",989760.333333333
"38","2010","02","All",924616.866666667
"39","2010","03","All",802598.3
"40","2010","04","All",739641.1
"41","2010","05","All",814902.833333333
"42","2010","06","All",698124.5
"43","2010","07","All",536506.766666667
"44","2010","08","All",368389.566666667
"45","2010","09","All",605157.066666667
"46","2010","10","All",865589.966666667
"47","2010","11","All",743306.466666667
"48","2007","01","Kitchen",56433
"49","2007","02","Kitchen",47584
"50","2007","03","Kitchen",60769
"51","2007","04","Kitchen",42078
"52","2007","05","Kitchen",75737
"53","2007","06","Kitchen",59673
"54","2007","07","Kitchen",43052
"55","2007","08","Kitchen",36251
"56","2007","09","Kitchen",52841
"57","2007","10","Kitchen",43218
"58","2007","11","Kitchen",50825
"59","2007","12","Kitchen",74090
"60","2008","01","Kitchen",61761
"61","2008","02","Kitchen",40231
"62","2008","03","Kitchen",63110
"63","2008","04","Kitchen",47080
"64","2008","05","Kitchen",53084
"65","2008","06","Kitchen",68728
"66","2008","07","Kitchen",47313
"67","2008","08","Kitchen",3873
"68","2008","09","Kitchen",52376
"69","2008","10","Kitchen",44093
"70","2008","11","Kitchen",58067
"71","2008","12","Kitchen",45109
"72","2009","01","Kitchen",74653
"73","2009","02","Kitchen",47098
"74","2009","03","Kitchen",64691
