"","Year","Month","Day","variable","value"
"17",2007,1,1,"All",45816.7333333333
"18",2007,1,2,"All",21153.9333333333
"19",2007,1,3,"All",16900.9
"20",2007,1,4,"All",54323.5333333333
"21",2007,1,5,"All",45222.7333333333
"22",2007,1,6,"All",25139.6333333333
"23",2007,1,7,"All",40793.6666666667
"24",2007,1,8,"All",37356
"25",2007,1,9,"All",31150.9
"26",2007,1,10,"All",35913.3333333333
"27",2007,1,11,"All",37586.5666666667
"28",2007,1,12,"All",24354.9333333333
"29",2007,1,13,"All",53113.5666666667
"30",2007,1,14,"All",50183.9666666667
"31",2007,1,15,"All",35811.3
"32",2007,1,16,"All",28106.7333333333
"33",2007,1,17,"All",47461.4666666667
"34",2007,1,18,"All",30357.7
"35",2007,1,19,"All",24674
"36",2007,1,20,"All",52228.8666666667
"37",2007,1,21,"All",56787.7
"38",2007,1,22,"All",36341.5666666667
"39",2007,1,23,"All",29627.3333333333
"40",2007,1,24,"All",49797.5666666667
"41",2007,1,25,"All",26605.7333333333
"42",2007,1,26,"All",26966.2
"43",2007,1,27,"All",34067.8666666667
"44",2007,1,28,"All",51539.1666666667
"45",2007,1,29,"All",33044.4
"46",2007,1,30,"All",28463.3
"47",2007,1,31,"All",39395.8666666667
"48",2007,2,1,"All",30412.6666666667
"49",2007,2,2,"All",27795.6
"50",2007,2,3,"All",67162.0333333333
"51",2007,2,4,"All",59932.3333333333
"52",2007,2,5,"All",27421.3333333333
"53",2007,2,6,"All",21224.6666666667
"54",2007,2,7,"All",38800.3
"55",2007,2,8,"All",30023.5666666667
"56",2007,2,9,"All",27003.3
"57",2007,2,10,"All",47155.4666666667
"58",2007,2,11,"All",59520.4666666667
"59",2007,2,12,"All",31293.5
"60",2007,2,13,"All",23575.7666666667
"61",2007,2,14,"All",41644.5333333333
"62",2007,2,15,"All",33089.1
"63",2007,2,16,"All",28375.4666666667
"64",2007,2,17,"All",34615.2
"65",2007,2,18,"All",63829.3666666667
"66",2007,2,19,"All",36443.5666666667
"67",2007,2,20,"All",52498.8
"68",2007,2,21,"All",34547.9
"69",2007,2,22,"All",56259.5
"70",2007,2,23,"All",21891.3333333333
"71",2007,2,24,"All",11915.3666666667
"72",2007,2,25,"All",8362.33333333333
"73",2007,2,26,"All",9474.73333333333
"74",2007,2,27,"All",8635.2
"75",2007,2,28,"All",8679.56666666667
"76",2007,3,1,"All",8626.06666666667
"77",2007,3,2,"All",8594.8
"78",2007,3,3,"All",13652.0333333333
"79",2007,3,4,"All",34845
"80",2007,3,5,"All",44338.8666666667
"81",2007,3,6,"All",20775
"82",2007,3,7,"All",39586.7666666667
